,name,region,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
35,Ecuador,Americas,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
36,Egypt,Africa,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
37,El Salvador,Americas,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
38,Estonia,Europe,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
39,Ethiopia,Africa,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
40,Finland,Europe,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
41,France,Europe,24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
42,Gabon,Africa,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
43,Gambia,Africa,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
44,Georgia,Asia,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
45,Germany,Europe,17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
46,Ghana,Africa,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
47,Greece,Europe,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
48,Guatemala,Americas,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
49,Guinea,Africa,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
50,Haiti,Americas,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
51,Honduras,Americas,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
52,Hong Kong,Asia,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
53,Hungary,Europe,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
54,Iceland,Europe,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
55,India,Asia,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
56,Indonesia,Asia,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
57,Iran,Asia,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
58,Iraq,Asia,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
59,Ireland,Europe,16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
60,Israel,Asia,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
61,Italy,Europe,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
